Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Economic Growth (from prior year),Population,% <$1.90 a day,% of Famine,Maternal Mortality (Deaths),Maternal Mortality per 100k,Suicide Mortality per 100k,Life Expectancy (Year),% Male (Pop),% Rural Population,Death Rate (Crude) per 1k,Birth Rate (Crude) Per 1k,Natural Increase (Crude) per 1k,% Crop Production to '14-16 ,Gov Education Budget (% of),Country of asylum,Country of asylum (ISO),Authority,Stage of procedure,Cases / Persons,Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Ireland,IRL,G,FI,P,0,0,93,248,341
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Netherlands,NLD,G,FI,P,0,10,98,115,223
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Norway,NOR,G,FI,P,0,59,152,22,233
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,New Zealand,NZL,G,FI,P,0,0,10,0,10
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Poland,POL,G,FI,P,0,0,122,26,148
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Russian Federation,RUS,G,FI,P,0,0,5,0,5
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Spain,ESP,G,FI,P,5,5,13,189,212
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Sweden,SWE,G,FI,P,10,10,123,24,167
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Switzerland,CHE,G,FI,P,0,0,46,84,130
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Argentina,ARG,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Australia,AUS,G,FI,P,0,0,76,0,76
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Belgium,BEL,G,FI,P,0,0,23,10,33
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Bulgaria,BGR,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Canada,CAN,G,FI,P,168,0,129,64,361
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Cyprus,CYP,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Denmark,DNK,G,FI,P,0,0,29,0,29
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Finland,FIN,G,FI,P,0,5,47,36,88
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,France,FRA,G,FI,P,12,0,608,0,620
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Greece,GRC,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Croatia,HRV,G,FI,P,0,0,0,5,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Hungary,HUN,G,FI,P,0,0,11,11,22
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Iceland,ISL,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Ireland,IRL,G,FI,P,5,0,166,294,465
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Liechtenstein,LIE,G,FI,P,0,0,0,5,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Latvia,LVA,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Mexico,MEX,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Netherlands,NLD,G,FI,P,0,5,164,37,206
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Norway,NOR,G,FI,P,0,5,952,711,1668
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,New Zealand,NZL,G,FI,P,0,0,5,0,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Poland,POL,G,FI,P,0,0,130,5,135
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Spain,ESP,G,FI,P,5,0,151,73,229
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Slovakia,SVK,G,FI,P,0,0,10,10,20
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Slovenia,SVN,G,FI,P,0,0,0,5,5
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Sweden,SWE,G,FI,P,0,5,439,67,511
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,451,626 ",0.5%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Switzerland,CHE,G,FI,P,5,0,55,131,191
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Argentina,ARG,G,FI,P,0,0,0,12,12
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Australia,AUS,G,FI,P,0,0,23,0,23
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Belgium,BEL,G,FI,P,0,0,47,19,66
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Canada,CAN,G,FI,P,145,0,155,64,364
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Cyprus,CYP,G,FI,P,0,0,5,0,5
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Czechia,CZE,G,FI,P,5,0,2357,418,2780
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Denmark,DNK,G,FI,P,0,0,11,0,11
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Finland,FIN,G,FI,P,0,5,48,43,96
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,France,FRA,G,FI,P,24,0,795,0,819
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,P,0,10,319,89,418
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Greece,GRC,G,FI,P,0,0,5,0,5
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Hungary,HUN,G,FI,P,0,0,11,5,16
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Ireland,IRL,G,FI,P,10,0,117,68,195
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Liechtenstein,LIE,G,FI,P,0,0,5,5,10
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Lithuania,LTU,G,FI,P,5,0,0,0,5
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Netherlands,NLD,G,FI,P,0,5,79,27,111
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Norway,NOR,G,FI,P,0,0,91,44,135
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Poland,POL,G,FI,P,0,0,50,18,68
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Portugal,PRT,G,FI,P,0,0,0,5,5
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Russian Federation,RUS,G,FI,P,0,0,5,0,5
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Spain,ESP,G,FI,P,5,0,24,27,56
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Slovakia,SVK,G,FI,P,0,0,10,28,38
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Slovenia,SVN,G,FI,P,0,0,5,11,16
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Sweden,SWE,G,FI,P,5,0,484,111,600
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,451,626 ",0.5%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Switzerland,CHE,G,FI,P,5,0,164,123,292
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Argentina,ARG,G,FI,P,0,0,0,11,11
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Belgium,BEL,G,FI,P,11,0,41,10,62
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Belarus,BLR,G,FI,P,0,0,0,5,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Canada,CAN,G,FI,P,144,0,93,36,273
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Cyprus,CYP,G,FI,P,0,5,107,59,171
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Czechia,CZE,G,FI,P,5,0,1879,78,1962
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Denmark,DNK,G,FI,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,France,FRA,G,FI,P,19,0,839,0,858
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,P,5,10,154,17,186
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Greece,GRC,G,FI,P,5,0,79,0,84
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Hungary,HUN,G,FI,P,0,10,17,12,39
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Ireland,IRL,G,FI,P,14,0,62,15,91
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Liechtenstein,LIE,G,FI,P,0,0,5,5,10
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Lithuania,LTU,G,FI,P,0,0,0,5,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Mexico,MEX,G,FI,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Netherlands,NLD,G,FI,P,0,11,28,5,44
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Norway,NOR,G,FI,P,0,0,26,5,31
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,New Zealand,NZL,G,FI,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Poland,POL,G,FI,P,0,10,72,10,92
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Russian Federation,RUS,G,FI,P,0,0,5,0,5
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Spain,ESP,G,FI,P,5,0,27,29,61
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Slovakia,SVK,G,FI,P,0,0,22,38,60
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Sweden,SWE,G,FI,P,0,10,312,56,378
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Switzerland,CHE,G,FI,P,0,5,95,50,150
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Argentina,ARG,G,FI,P,0,0,0,13,13
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Australia,AUS,G,FI,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Belgium,BEL,G,FI,P,0,0,27,36,63
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Belarus,BLR,G,FI,P,0,0,0,5,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Bulgaria,BGR,G,FI,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Canada,CAN,G,FI,P,136,0,73,41,250
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Cyprus,CYP,G,FI,P,0,10,145,185,340
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Czechia,CZE,G,FI,P,10,0,986,82,1078
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Denmark,DNK,G,FI,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,France,FRA,G,FI,P,5,0,567,0,572
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,P,0,0,67,5,72
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Greece,GRC,G,FI,P,0,0,16,254,270
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Croatia,HRV,G,FI,P,0,0,0,5,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Hungary,HUN,G,FI,P,0,0,5,28,33
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Ireland,IRL,G,FI,P,0,0,82,20,102
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Liechtenstein,LIE,G,FI,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Netherlands,NLD,G,FI,P,5,5,38,11,59
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Norway,NOR,G,FI,P,0,0,13,5,18
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Poland,POL,G,FI,P,0,0,52,46,98
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Slovakia,SVK,G,FI,P,12,0,32,15,59
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Slovenia,SVN,G,FI,P,0,0,0,5,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Sweden,SWE,G,FI,P,0,0,114,32,146
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,451,626 ",0.5%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Switzerland,CHE,G,FI,P,0,11,32,33,76
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Australia,AUS,G,FI,P,0,0,11,0,11
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Belgium,BEL,G,FI,P,0,0,16,18,34
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Belarus,BLR,G,FI,P,0,0,5,5,10
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Bulgaria,BGR,G,FI,P,0,0,5,0,5
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Canada,CAN,G,FI,P,124,0,81,34,239
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Cyprus,CYP,G,FI,P,0,0,45,386,431
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Czechia,CZE,G,FI,P,31,0,562,48,641
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Finland,FIN,G,FI,P,0,0,5,0,5
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,France,FRA,G,FI,P,5,0,160,0,165
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,P,0,5,35,0,40
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Hungary,HUN,G,FI,P,0,0,14,18,32
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,451,626 ",0.5%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Ireland,IRL,G,FI,P,0,0,35,5,40
